B1,B2,B3
1,1,sarasvatItantra
2,1,kavirahasya
3,2,upapRR
4,3,sadratnamAlA
5,3,anumadhyama
6,3,cArusarvAGgadarzana
7,3,haimI
8,3,vijJApin
9,3,parijA
10,3,madhurakharjUrikA
11,3,jIvameSaka
12,3,bhRzavedanA
13,3,karkareDu
14,3,upasAdita
15,4,jJapti
16,4,pRthuzrava
17,5,tapoloka
18,5,vyUka
19,5,dvAdazArcis
20,5,lAGgulikA
21,5,duHkhadagdha
22,6,dehI
23,6,bhauliGgI
24,6,punardhenu
25,6,bIjabhUta
26,6,vaikuNThabhuvana
27,6,pavamAnahavis
28,6,galbha
29,6,abhiraJj
30,6,ibhoSaNA
31,6,ghnya
32,7,zvetameha
33,7,karmarI
34,7,sAsnAdimat
35,7,jagaddhitAtman
36,7,sAdhvapAsanavidhi
37,7,kAcasambhava
38,7,puSpadantAnvaya
39,8,sarajaska
40,8,yadUdvaha
41,8,mahAbhASyapradIpa
42,8,indramantrin
43,8,dakSiNAzA
44,9,khapurapuSpa
45,9,saMtaram
46,9,divyazrotra
47,9,ameghopaplava
48,9,savanika
49,9,sAmisaMsthita
50,9,apapa
51,9,vigam
52,9,aniSudhanva
53,9,durbhagA
54,10,hArisa
55,10,saMsUcaka
56,10,zUrpavAta
57,10,azizirakara
58,10,mukhapaTa
59,10,mihirANa
60,10,mAyUrikA
61,10,dhruvam
62,10,jyeSThavara
63,10,tiTilambha
64,10,mithyAyoga
65,11,zamita
66,11,sananda
67,11,laghusAra
68,11,upajoSaNa
69,12,pratyaksrotas
70,12,bhUtavAhanasarathi
71,12,volaka
72,12,nipaTha
73,12,sudhita
74,13,dvijamukhya
75,13,mAkIm
76,13,paryudasana
77,13,saMrabdham
78,13,sukRtadvAdazI
79,13,saMtap
80,13,muktisena
81,13,abhiSvaJj
82,13,bAlazAstrin
83,14,bhramAt
84,14,raviratna
85,14,prasad
86,14,mRkaNDu
87,14,pUyazoNita
88,14,saMdhaya
89,14,tapiSNu
90,14,siMhikAsUnu
91,14,saMzIti
92,15,muhUrtaratna
93,15,gaNDAzman
94,15,kAryabhAktva
95,15,bhUridhAra
96,15,apamaGgala
97,15,ikSuvATI
98,15,trivitasta
99,15,zakuniprapA
100,16,karmavipAka
101,16,jAtakAmbhonidhi
102,16,saMgharSa
103,16,mantrAkSara
104,16,subodhinI
105,16,protsR
106,16,kUTasvarNa
107,16,tAmramukha
108,17,mahezitR
109,17,kAkatulya
110,17,DaGgara
111,17,karakamala
112,17,paryAyakrama
113,18,vIraparAkrama
114,18,mokSayitavya
115,18,ravisamaprabha
116,18,niz
117,18,kaTupattra
118,18,nirantara
119,18,upAvahR
120,19,khANDikyajanaka
121,19,sthUlasUkSmaprakaraNa
122,19,saMkhyAtasaMkhyeya
123,19,zabdastomamahAnidhi
124,19,pratyupakriyA
125,19,vAjimeSa
126,19,akSavatI
127,20,zivATI
128,20,citrAGgada
129,21,vaizampAyanIya
130,21,pazuyUka
131,21,antarduSTa
132,21,vikuJcitabhrUlatam
133,21,prabandha
134,21,loSTaguTikA
135,22,Ta
136,22,sarvathA
137,22,gajabhujaMgama
138,22,muSA
139,22,spRhAvat
140,22,padmapriyA
141,23,tyad
142,23,baiSka
143,23,strIya
144,23,azanin
145,23,visra
146,23,AkuDmalIkRta
147,23,jyeSTharAj
148,23,madanAlaya
149,24,zaratva
150,24,jhATala
151,24,surasaMgha
152,24,pramodinI
153,24,suzroNi
154,24,vAsiSThasmRti
155,24,maGg
156,25,saMcodaka
157,25,kAzikAnyAsa
158,25,arikta
159,25,prAznIputra
160,25,tapyatva
161,25,dvivajraka
162,26,Adih
163,26,gaGgAvataraNa
164,26,nagapati
165,26,durnivArya
166,26,aprabha
167,27,vAditra
168,27,kukundura
169,27,kRpANa
170,27,paurNasaugandhi
171,27,samAhara
172,27,samanudhyai
173,28,vaikAlikam
174,28,kSIrodadhi
175,28,mRl
176,28,zrIparApUjana
177,28,madhuraphala
178,28,pazcimottara
179,29,smarahara
180,29,kRtnu
181,29,pIDAkRt
182,29,bhAma
183,29,pralobha
184,29,vikIrNasaMjJa
185,29,vUs
186,30,sADhR
187,30,yuktaka
188,30,stabdhamati
189,30,payonidhi
190,30,puSkarAya
191,30,pUrvamadhyAhna
192,30,parizeSakhaNDa
193,30,abhisamR
194,31,zAstravAdin
195,31,gupti
196,32,sarvazAstra
