B1,B2,B3
1,1,sAraNika
2,1,jalaja
3,1,sadratnamAlA
4,1,halAyudhastava
5,1,hRdgata
6,2,asthiyuj
7,2,kuhelikA
8,2,zaivAyana
9,2,cedisaMvat
10,2,upanAha
11,2,mahAdevadIkSita
12,3,suprabhAtA
13,3,tripiNDI
14,4,ghorarUpin
15,4,upAsanAcandrAmRta
16,5,sudharmA
17,5,dhAturUpAvalI
18,5,vRkSAdhirUDhaka
19,6,sampAtika
20,6,dAzapura
21,6,siddhAntatari
22,6,bhRGgavRkSa
23,7,jaTAjhATa
24,7,mallabhaTItUrya
25,7,Izvarasadman
26,7,anUkA
27,7,vighaTT
28,8,raNakAmin
29,8,pravAtasAra
30,8,pralayodaya
31,8,AsthApita
32,8,pUrvocita
33,9,parijJAnamaya
34,10,zalAkin
35,10,pravANI
36,10,lakSI
37,11,caraNi
38,11,abaladhanvan
39,12,saMyantrita
40,12,rUpikA
41,12,sukhada
42,12,avamarda
43,12,kanakAraka
44,12,kIdRkSa
45,13,niSpatti
46,13,vihata
47,13,sthurin
48,13,citralA
49,13,sundarajAmAtRmuni
50,14,devIgRha
51,14,paunarnava
52,14,mUtrazakRt
53,14,ratnamudrA
54,14,dharmAdharmaparIkSA
55,15,asarvazas
56,15,nirupapada
57,15,anUpaprAya
58,15,antaHpArzva
59,15,puravairin
60,15,pAkayajJika
61,16,uSmasveda
62,16,Ajavana
63,16,buddhanirmANa
64,17,vamuka
65,17,tundikA
66,17,zIghraparidhi
67,18,tAli
68,18,iSTadevatA
69,18,sneharaGga
70,18,ardhe
71,19,unnIpam
72,19,anabhijJa
73,19,asidaMSTraka
74,19,senAgra
75,19,kandala
76,20,praNihita
77,20,asaMcAra
78,20,dvitIyArcanakalpalatA
79,21,pariNam
80,21,yamalA
81,21,agnIdhra
82,21,dolAya
83,22,jAnakIpariNaya
84,22,vRkSadala
85,22,sasni
86,22,Adisvarita
87,23,prasAdhikA
88,24,sArthika
89,24,paryavasAya
90,25,hiNDIkAnta
91,26,itarajAtIya
92,27,tIrthavat
93,27,manthaja
94,27,avajiti
95,27,atisujana
96,27,rajjumaya
97,28,mahoraga
98,29,jamana
99,29,dinanAtha
100,29,sabhika
101,29,roddhR
102,30,agreNa
103,31,abhihuta
104,31,samavarNa
105,31,apAsta
106,31,musalAmusali
107,32,harmyabhAj
108,32,vaizvAnara
109,32,maladhAtrI
110,32,vikrIDa
111,32,svapada
112,33,kAmasUtra
113,33,tutAta
114,34,traidazika
115,35,vaizyAja
116,35,kathitapada
117,35,sahapUruSa
118,35,vIrabhadrakAlikAvacana
119,36,dantakrUra
120,36,tadavastha
121,36,pariNAmanirodha
122,36,zaipatha
123,36,bhAsu
124,36,sahagata
125,37,mAlatItIrasambhava
126,38,vanacara
127,38,kaTATaGka
128,38,ardhadvicaturaska
129,38,bAka
130,38,mASavApa
131,38,kRtavApa
132,39,pratiSedhApavAda
133,39,velormi
134,39,srotanadIbhava
135,40,upaviSThA
136,40,pRthuvyaMsa
137,40,jAtimAtropajIvin
138,41,tAntrika
139,42,pItaskandha
140,43,samAnatva
141,43,garbhasamplava
142,44,karagharSaNa
143,45,saMvatsarabhRtin
144,45,apratiSThA
145,45,brahmopanetR
146,45,ratAnta
147,45,kairAtasaras
148,45,gurutvaka
149,46,brahmezvaratIrtha
150,46,SoDazAvarta
151,46,sUtagrAmaNI
152,46,udadhisaMbhava
153,47,prAyazcittamuktAvalIprakAza
154,47,raj
155,47,svabhAvajanita
156,47,maNikarNezvara
157,47,antarhiti
158,48,sokha
159,49,asaunAman
160,49,trikUrcaka
161,49,vipanyu
162,50,apragalbha
163,50,abhyamin
164,50,elvavAluka
165,51,zItalasparza
166,51,aga
167,51,praskanna
168,51,subhUSaNA
169,51,kAyakAraNakartRtva
170,51,dhAva
171,52,sarvakASam
172,52,zimbI
173,52,sUkSmamAna
174,53,stire
175,53,harikeza
176,53,kAmakelirasa
177,53,kaMsAsthi
178,53,bhAgavatasaptAhAnukramaNikA
179,53,prAjipakSin
180,54,pAdapopagamana
181,54,rAsnAva
182,54,vigRhyAsana
183,54,gRhItakhaDgacarman
184,54,sarvavikrayin
185,54,devadeva
186,55,yogasevA
187,55,bAlamallavenasiddhAnta
188,55,evaMvRtti
189,56,mRtiman
190,56,zaGkhapAtra
191,56,tailakAra
192,56,vibhinnatamisra
193,56,bhAmatI
194,57,abhyarcita
195,57,jityA
196,57,vidyutA
197,57,zastradevatA
198,57,svApizIya
199,57,jAbAlazruti
200,58,sayajJapAtra
201,59,pUrvasasya
202,59,apiripta
203,59,kezavAyudha
204,60,zAkanighaNTu
205,60,yathAkSemeNa
206,60,zataguNa
207,60,hlAdanIya
208,60,zANDilyaputra
209,60,asaMmRSTa
210,61,adhIna
211,61,somapaddhati
212,61,zulkAvApta
213,61,puNDarIkAnvaya
214,61,tArkikakArikA
215,62,brahmavRndA
216,62,zuktipezI
217,62,Rjiman
218,62,SaDvarSikamaha
219,62,karitva
220,63,sarvasvAya
221,63,phenAhAra
222,64,dhanarUpa
223,65,vAlikhilya
224,65,viSvagviluptacchada
225,65,zRGgArasAra
226,66,saMlApin
227,67,nemi
228,67,kSINatA
229,68,vrAtasAha
230,68,aindranIla
231,68,devIsvarUpastuti
232,68,otu
233,68,vyatimoha
234,69,saMnipAtita
235,70,dAnapAtra
236,70,maNTapa
237,70,poTaka
238,70,daraNa
239,70,zaMkaradigvijayasAra
240,70,haripaNDita
241,71,asmadrAta
242,71,antra
243,72,zUdrAvedana
244,72,AkramaNa
245,72,kumbhalagna
246,72,nRmara
247,72,pIThikA
248,72,avayavin
249,73,vizvAntara
250,74,mahArghatA
251,75,kumudavana
252,75,atijIrNatA
253,75,malaghnI
254,75,varAGgI
255,76,vimalavAhana
256,76,devakIya
257,76,janika
258,76,trinavatitama
259,77,candraratna
260,77,kucaharA
261,78,svaJc
262,78,tvaritam
263,78,gArdhrapakSa
264,78,atipraNudya
265,78,vibhedika
266,78,ghu
267,79,bhAskaravrata
268,79,pratihrAsa
269,80,siGghANikA
270,80,maNDanaka
271,80,jalaMgama
272,80,AjAnusama
273,81,vyutkrAntadharma
274,81,vanopaplava
275,81,rAhucAra
276,82,mahAvaipulya
277,82,padvan
278,83,aGgArakita
279,83,vipadA
280,83,harSavihvala
281,83,suvedas
282,84,sahArda
283,84,golaka
284,84,pariglAna
285,84,puruSayoni
286,84,stIm
287,85,raktAmburuha
288,85,paracchanda
289,85,daMzamUla
290,86,parAgdRz
291,86,sajjanacittavallabha
292,86,lakSaNoru
293,86,zIkarAmbu
294,86,valIvadana
295,86,upavarta
296,87,zvahata
297,87,bhikSita
298,87,vailomya
299,87,nyAyakiraNAvalI
300,87,kaGkA
301,88,cAndanagandhika
302,88,nAnolba
303,88,uSNam
304,88,govindarAma
305,88,zleSmaha
306,89,navInacandra
307,90,nAmapUrva
308,90,tyAgima
309,90,samyagukta
310,90,hrasiman
311,90,vAmadhvaja
312,91,suzruNa
313,91,prakSveDita
314,91,bahujJatA
315,91,saMcal
316,91,SaTtriMzadiSTaka
317,91,pAdavirajas
318,92,mAlavikAgnimitra
319,93,supiGgalA
320,93,vIramardanaka
321,94,pRznigo
322,94,sukhaprasavana
323,95,pAkazAstra
324,95,dhRtapraja
325,95,nAriGgakanda
326,96,kriyAvAcin
327,96,campASaSThI
328,97,dalanI
329,97,celaka
330,97,haDi
331,97,AgAmin
332,98,zailarandhra
333,98,catuSkhaNDa
334,98,zailAhva
335,99,nijadhRti
336,99,puraMjaya
337,99,kRSIvala
338,99,raNadara
339,100,nAtibhArika
340,100,priyadarzanA
341,100,sarpalatA
342,101,caturthikA
343,101,dharmaratnamaJjUSA
344,101,abhikarman
345,102,mahAziva
346,102,susaMyatta
347,102,viSvaksena
348,102,akSNayAkRta
349,102,gRdhrANa
350,103,vatsamitrA
351,103,gaGgAvAkyAvalI
352,103,kuzezayamaya
353,103,niSkampatA
354,103,aharbAndhava
355,103,uttamatA
356,104,viSayapathaka
357,104,tadatipAta
358,104,gokaNTa
359,104,pathiprajJa
360,105,madanAbhirAma
361,105,sarvatathAgatabandhanajJAnamudrA
362,105,hArivAsa
363,105,lakSmIsahasranAmastotra
364,105,prathimin
365,105,yatisamArAdhanavidhi
366,106,prasad
367,106,abhAgadheya
368,106,saunapAla
369,106,dvArAbhimAnin
370,106,tRtIyAMza
371,106,lakSmIdevI
372,107,ambhaNa
373,107,natAGga
374,107,cakita
375,108,etadIya
376,108,AMzya
377,108,jvAlA
378,109,vRddhavIvadhA
379,109,chinnAntra
380,109,hRtpuNDarIka
381,109,phalakinI
382,109,vimarSa
383,109,phullasUtra
384,110,bhRkta
385,110,svapoSam
386,110,aparakAla
387,111,sumukhatA
388,111,vAmasvabhAva
389,111,yakSiNIkavaca
390,112,arNavapota
391,112,yakSmin
392,112,udgrah
393,113,zatAzvavijaya
394,113,kSepiman
395,114,sveSTadaivata
396,114,saMdhyAkArikA
397,114,nirmalaprakAza
398,114,paridhIkR
399,115,saptazatamantravibhAga
400,115,rAmAGkanATikA
401,115,paryavasAyin
402,116,AtisArika
403,116,sahasrakiraNAvali
404,116,mayaskara
405,116,zaGkucchAyA
406,116,kharapAtra
407,117,sAkUtahasita
408,117,sarvavAgIzvarezvara
409,117,vizvAsaghAtin
410,117,paJcamahAkalpa
411,117,avadaMza
412,118,vanAntaracara
413,118,tarumahiman
414,119,vakSazchada
415,119,vipravad
416,120,caityadru
417,120,vAmadevaratha
418,121,utsmita
419,121,paripiJjara
420,121,ekasaptatika
421,121,hRdyagandhaka
422,122,nagarInirodha
423,122,naTIsuta
424,123,mamat
425,123,vAjasrava
426,123,maGgalAgauryaSTaka
427,123,mukhArjaka
428,124,avakSepaNI
429,124,vedasinI
430,124,anijaka
431,125,hRdayazoSaNa
432,125,mayUrapicchamaya
433,125,kastUrikaiNI
434,125,pretabhUmi
435,126,zakrabhakSamakhotsava
436,126,upakrI
437,126,daMsayitR
438,126,viSavidyA
439,126,kosalavideha
440,127,sarvabhakSatva
441,127,plAvya
442,127,dAsIzrotriya
443,128,zaSpAda
444,128,nIlavat
445,128,dhUpanAGga
446,129,karicarman
447,129,vizvambharAbhuj
448,129,jAtisasya
449,130,dravaNa
450,131,dhruvasUkta
451,131,SaTpadAlI
452,131,sAMnyAsika
453,131,ubhayAlaMkAra
454,131,zatadhAraka
455,131,ugravIra
456,132,suviSTambhin
457,132,pUyAlasa
458,132,vedAntasammatakarmatattva
459,132,nyasana
460,133,vaprakriyA
461,133,rasasaMketakalikA
462,133,kilAsaghna
463,134,ravaNa
464,135,daNDakamaNDalu
465,135,lalAmavat
466,135,vatsaraphala
467,135,asthiratva
468,135,somApa
469,136,tAlapralamba
470,136,lokahAsya
471,136,vedAntasaMjJA
472,137,sAcivilokita
473,137,naiSadhaprakAza
474,138,satata
475,138,gira
476,139,culhi
477,139,pRkSaprayaj
478,139,prApyarUpa
479,139,sutadA
480,139,vasurAta
481,140,kAThakagRhyasUtra
482,140,babhrusmRti
483,140,moktR
484,140,zrIpativyavahAranirNaya
485,140,maGkhuNa
486,140,ajamodA
487,141,paliGgu
488,141,somagopA
489,141,avaidhavya
490,141,salilanidhi
491,142,utsAdita
492,142,vasuzakti
493,142,bRhata
494,142,priyAjana
495,143,bhuja
496,143,AjJAdAna
497,143,susthirammanya
498,143,sahapATha
499,143,khAdatAcamatA
500,143,gaviputra
501,144,pravaNeja
502,144,tIkSNakaNTakA
503,144,yAgamaya
504,144,durnRpa
505,145,yamakArNava
506,146,pramattarajju
507,146,vizvadevanetra
508,146,avakRtta
509,146,yathArhakRtapUja
510,147,ahantva
511,147,yAvacchlokam
512,147,udAvraj
513,147,koSThavat
514,147,romavivara
515,148,rASTriya
516,148,abhihitatva
517,148,uttarAdhikAratA
518,149,prahRSTaka
519,149,parAJcana
520,149,lIlAtanu
521,149,jUra
522,149,indrAyudhazikhin
523,149,mahApAna
524,150,locanI
525,150,payo
526,151,avyavastha
527,151,pratinihan
528,151,bAD
529,152,viTaGkita
530,152,agnaukaraNa
531,152,dvaitanirNayasiddhAntasaMgraha
532,152,pramadAvana
533,152,mukhamAruta
534,153,prAkphala
535,153,khaDgadhArAvrata
536,154,tRNapuruSaka
537,154,yUthatvA
538,154,mAtaMgalIlA
539,154,kAhI
540,155,AdhUmana
541,155,adaNDa
542,156,nudita
543,157,vIravetasa
544,157,AdizAbdika
545,157,indramahakAmuka
546,158,sphira
547,158,niroSThya
548,158,satyanAman
549,158,pratigraha
550,158,zaunakIya
551,159,paJcAgnitva
552,159,hrum
553,159,mahAsambhava
554,160,avahA
555,160,gArhya
556,160,vizalyaghna
557,160,jIvavinaya
558,160,pakSagama
559,160,Uhana
560,161,bhairavI
561,161,kUddAla
562,161,drumakiMnaraprabha
563,161,nabhojA
564,161,eTh
565,162,gahi
