B1,B2,B3
1,1,sasAgara
2,1,prAtibhA
3,1,tittirAGga
4,2,vanaprakSa
5,3,durnivArya
6,3,mahAbhASyaratnAvalI
7,3,pratyabhimRSTa
8,3,kAMsyamakSika
9,3,lAvaNa
10,4,gatAdhi
11,4,sotprAsa
12,5,samudAgata
13,5,dhvanigAthApaJjikA
14,5,amUra
15,5,skRdhoyu
16,5,prasita
17,5,sauradharma
18,6,sphArasphAra
19,6,anaDutka
20,6,saMraJj
21,7,anuvap
22,7,brahmaprakRtikatva
23,7,pratihiti
24,8,samantarazmi
25,8,DAmaratva
26,8,saMjughukSu
27,9,andolaya
28,9,tapantaka
29,9,dIrNAGga
30,10,AjyavilApanI
31,10,kumba
32,10,vizvAmitrasmRti
33,11,vyavabhAs
34,11,kanduzAlA
35,11,varasyA
36,11,zrutadharman
37,11,zrIkhaNDadruma
38,12,sUryAtharvAGgirasopaniSad
39,13,gRhapotaka
40,14,amitravarman
41,14,zUnyavyApAra
42,14,caturdazaguNasthAna
43,15,gAmika
44,16,zvAvidha
45,17,devapada
46,17,saparihAram
47,17,chAyAkara
48,17,anityatA
49,17,aponaptriya
50,17,pradAyin
51,18,traTat
52,18,turIyAditya
53,18,paTAlukA
54,19,taimAta
55,19,zabdacintAmaNivRtti
56,20,ardharAja
57,21,saMdhukSaNa
58,21,sambhASa
59,21,agAdha
60,21,gorakSya
61,21,dhAtupriyA
62,22,zraddhin
63,22,madyapaGka
64,22,bhAladRz
65,23,ekAdazavarSa
66,23,malayajarajas
67,24,ekavAsas
68,25,parNasi
69,25,bhAratakarNa
70,25,eSin
71,25,kASThabhAra
72,25,ataijasa
73,26,prAtibodhAyana
74,26,upasAdya
75,26,bhaprazasta
76,26,haMsaja
77,26,dIpazikhA
78,26,bhagavadgItAsArasaMgraha
79,27,vyAghrazveta
80,27,adrohavRtti
81,27,chandena
82,27,vAtavega
83,27,tumbA
84,28,kuSAku
85,28,pRthakparNikA
86,28,kiraNA
87,28,saMsevya
88,29,mAlla
89,29,vipravrAjinI
90,29,yathAMzatas
91,29,patera
92,29,Adaghna
93,30,asphuTa
94,30,tamasvan
95,30,vigharSaNa
96,30,caturhanu
97,30,brahmasiddhivyAkhyAratna
98,30,rAkSasotpatti
99,31,navacatvAriMza
100,31,utpAlI
101,31,supiz
102,32,saMlIDha
103,32,zabdArNavAbhidhAna
104,32,prAtardana
105,32,jAgRtavya
106,32,vAmacUla
107,32,svarSA
108,33,bhagavatsvarUpa
109,34,maitreyasUtra
110,35,vicitvArA
111,35,apAGgavizAlanetra
112,35,dhAraNayantra
113,35,atigA
114,36,sutalpa
115,36,apanasa
116,36,mahanIyakIrti
117,37,pratidiz
118,37,amRtIbhU
119,38,sarvatIrthAtmaka
120,38,nayavIthi
121,38,vizvadarzata
122,38,priyAbhidheya
123,38,proti
