B1,B2,B3
1,1,meghavana
2,1,guh
3,1,mAMsepad
4,2,uttarapurANa
5,3,uttamarNika
6,3,nADIsveda
7,3,mRdumadhyA
8,4,asacchAstra
9,5,kRtamAlA
10,5,puTaka
11,5,chandaHsudhAkara
12,5,nirudvigna
13,6,zabdAdhikAra
14,7,Ahirbudhnya
15,7,syamantakaprabandha
16,7,jyotiSpakSa
17,8,atithi
18,8,sakArabheda
19,8,raGgalatA
20,9,svAstaraNa
21,9,pANDuroga
22,9,bhUtumbI
23,9,vAdita
24,10,kaDD
25,10,RSikRt
26,10,ananyaparAyaNa
27,11,niyamena
28,11,vera
29,11,samadvAdazAzra
30,12,supArzvaka
31,13,supramaya
32,13,naimiSakuJja
33,13,tAmrapuSpikA
34,14,SaNNavatizrAddhaprayoga
35,14,dhAmasac
36,14,Ardhika
37,14,nirdoSatA
38,15,ayastApa
39,15,daivavaza
40,15,paJcayojana
41,16,pRSThabhAga
42,16,naTanArAyaNa
43,17,aprasakta
44,17,samAdhmA
45,18,maraNazIla
46,19,tigmAyudha
47,19,vAstu
48,19,lohitekSaNa
49,19,arcinetrAdhipati
50,20,saMjJAtva
51,20,tripiSTapa
52,21,nilAmbhoja
53,21,jagatIruha
54,22,zvetAzvatarazAkhA
55,22,atinam
56,22,avapUrNa
57,22,anubhUyamAna
58,23,cakragati
59,24,suvacana
60,24,guDabhA
61,24,haMsayuvan
62,24,taNDAlakSaNa
63,25,valbhana
64,25,kusumAvacaya
65,25,aSTavArSika
66,25,upayAja
67,26,stabdhakarNazirodhara
68,26,apratilabdhakAma
69,27,alaMkArasarvasva
70,27,arathin
71,27,solaGka
72,28,sumanasya
73,28,zRGgIkanaka
74,29,bAliman
75,30,evASa
76,31,setusaMgraha
77,31,saMhavana
78,31,aticamU
79,31,prAkRtavyAkaraNavRtti
80,32,svAdukaNTaka
81,32,cakrabAlA
82,32,sUryAruNakarmavipAka
83,33,karNavat
84,33,yuvatijana
85,33,prapalAy
86,33,janArthazabda
87,34,anirhata
88,34,anantavikramin
89,34,AkhaNDalasUnu
90,34,srAvya
91,35,subhUSaNabhUSitA
92,36,vetAlapura
93,36,rAghavacaitanya
94,36,mukhanirIkSaka
95,36,krozamAna
96,37,tapogaccha
97,37,manthaja
98,37,suSuti
99,37,nAgadantikA
100,38,adhyaMsa
101,39,kAlasUrya
102,39,hRdayadIpaka
103,39,kRSNopaniSad
104,39,rAdhArasasudhAnidhi
105,40,vasitavya
106,41,asatIsuta
107,42,pravidAra
108,42,stega
109,43,cArukesarA
110,44,mahAkAlabhairavatantrezarabhakavaca
111,44,abhitsar
112,44,dAla
113,45,prAkpuSpA
114,45,jambhala
115,45,saMghAtavihArin
116,45,kalidruma
117,46,haviHsaMsthA
118,46,pratyayitavya
119,46,pArijAtaharaNacampU
120,47,sampratipAdana
121,47,uTa
122,48,samAsapAda
123,49,upamathya
124,49,vrakSas
125,49,durniHsaraNa
126,50,surAkarman
127,50,maNDodaka
128,50,nirbhedin
129,50,laghuparibhASAvRtti
130,51,tuNDila
131,51,sukhaduHkha
132,51,naitya
133,51,dhaurtika
134,52,paJcatriMzat
135,53,ruvaNya
136,53,saptata
137,53,divyacakSus
138,54,udakamantha
139,54,cArika
140,54,niyantrita
141,54,zAkaTIna
142,55,kAlapakva
143,55,ghorarUpA
144,56,zmazAnavAsin
145,56,sAvazeSajIvita
146,56,matipUrvam
147,56,zev
148,57,tittiravallara
149,57,parisarpa
150,58,sampratihan
151,58,plakSakIya
152,58,rAjJIpada
153,58,udvaktra
154,59,pavanapAvana
155,60,mayUrakizora
156,60,aGgarAga
157,60,akSayaloka
158,60,khAt
159,61,anAktAkSa
160,61,vandanazrut
161,61,asUrtarajasa
162,62,acApalya
163,62,bhUmIkadamba
164,62,vizaGkanIya
165,62,raktadhAtu
166,63,zanais
167,63,azvahAraka
168,63,avagraha
169,64,araNyaka
170,64,kumudAkarabAndhava
171,65,mImAMsArthadIpa
172,65,stanAbhuja
173,65,vindhyapAlaka
174,66,viSNudhArA
175,66,yathAnyastam
176,66,SaDbhASAmaJjarI
177,67,kedArezvaraliGga
178,67,mithyAjIvAtu
179,67,sphal
180,67,svedajalakaNa
181,68,vacanAvakSepa
182,68,bhiSaj
183,69,lUyamAna
184,69,kalacuri
185,69,vRSTitA
186,69,antanAman
187,70,audgrahaNa
188,71,plavaMgamA
189,71,jaladhenu
190,71,vArttAvRtti
191,72,satyapriyatIrtha
192,73,piNDaphala
193,73,varuNavegA
194,73,satyamugra
195,73,samabhAga
196,74,palvalIbhU
197,74,kRdanta
198,74,madhyAhnasamaya
199,74,pramada
200,75,bANabhaTTa
201,75,ayaskumbhI
202,76,vAlatuSa
203,76,sunAdaka
204,77,taikSNya
205,77,manApa
206,77,vidIpita
207,78,parIvettR
208,78,manusmRti
209,78,anUdaka
210,78,sAvitraciti
211,79,samAhArya
212,79,Ahna
213,79,aspRSTarajastamaska
214,80,vavraya
215,80,vAstucandrikA
216,80,tArNaka
217,81,avyAkSepa
218,82,yajurvedazrauta
219,82,dvAHsthita
220,83,sumukhIkRta
221,83,rUkhara
222,83,vihruta
223,84,pratinava
224,85,hrAdaka
225,85,vAstusamuccaya
226,85,vanahabandi
227,86,aparazarad
228,86,nighaNTurAja
229,86,sIradhvaja
230,86,zumbhamardinI
231,87,anupAna
232,88,zaradakSa
233,88,astrAya
234,88,pAdapAdadhAvana
235,89,dIrghavat
236,89,manujanAtha
237,89,sindhujanman
238,90,sarvadhArin
239,90,somabhojana
240,90,mahAzItavatI
241,91,girita
242,91,paribhAva
243,91,godhAya
244,91,chAttramitra
245,92,gopaghoNTA
246,92,sahasrazIrSA
247,93,rugbheSaja
248,94,vahnigRha
249,94,purastAt
250,94,pRthvIja
251,94,dhUmAkSa
252,95,vedimatI
253,96,nirjJAti
254,97,dantaroga
255,97,anAyatta
256,97,zaktivijayastuti
257,97,mRgadyU
258,98,vRjinAya
259,98,kRkara
260,98,naikavidha
261,98,caturdazika
262,99,narapativijaya
263,99,baraTa
264,99,niriGga
265,100,mabhr
266,100,drimila
