B1,B2,B3
1,1,khagendra
2,1,asvaka
3,1,bRsikA
4,1,zrImukhI
5,1,caityataru
6,1,caGkramAvat
7,1,hiraNyavRSabhadAna
8,1,tApasaja
9,1,puMlakSman
10,1,kalizAsana
11,1,parikarSin
12,1,hiNDika
13,1,suvarNasteyin
14,1,prAdhvam
15,1,vArtantavIya
16,1,sadyodugdha
17,1,kumuda
18,1,samanindAnavana
19,1,ekasphyA
20,1,vidhivAdArtha
21,1,paJcakhaTvI
22,1,abhisatvan
23,1,likhita
24,1,zyAmasAra
25,1,bisanAsikA
26,1,vikirida
27,2,Ayodhyika
28,2,vRttAntadarzin
29,2,garuDapakSa
30,3,AdRSTiprasaram
31,3,hIrAnanda
32,3,vidyAlabdha
33,3,aparatA
34,3,saMvyavasya
35,3,parazrI
36,3,vibhutvasamarthana
37,3,saMvatsararaya
38,3,mAlAdAman
39,3,vAjinIrAjanavidhi
40,3,pAkayajJaprakAza
41,3,caturbIja
42,3,kRtAdara
43,3,abhinirvRtti
44,4,zuklakSIra
45,4,Anandaka
46,4,maTmaTa
47,4,paJcatA
48,4,brahmasarpa
49,4,mArkaNDeyasmRti
50,4,paGktyuttarA
51,4,sumukta
52,4,avismRti
53,4,govIthI
54,4,parNacara
55,4,vAgdevatAguru
56,4,suyaj
57,4,uttuGgita
58,4,anuvAsya
59,4,prAzitR
60,4,duHzAkam
61,4,avakAzada
62,4,upadIkS
63,4,nArIprasaGga
64,4,kudeha
65,4,saMgItapuSpAJjali
66,4,saMvalita
67,4,kedArabhaTTa
68,4,guNabhinna
69,4,arghyapAtra
70,4,devIpurANIya
71,4,sahastatalam
72,4,pratidIpta
73,4,azvayUpa
74,4,dakSiNAprAgagra
75,4,azloNa
76,4,tAtparyanirNaya
77,5,karmabandha
78,5,yamanagarAtithi
79,5,visrasta
80,5,amaraprabhu
81,5,pASaNDacapeTikA
82,5,ArdhakauDavika
83,5,vikRtatva
84,5,svarNadA
85,5,maNDalottama
86,5,raktazRGgI
87,5,kulAbhi
88,5,rAjavAhana
89,5,hirImaza
90,5,anvAyatta
91,5,nairjhara
92,5,cArapAla
93,5,dhAtRbhavana
94,5,vaMzapattrapatita
95,5,Analavi
96,5,zAlamarkaTaka
97,5,viSamAditya
98,5,candanaputrikA
99,5,agamyagA
100,5,kaupIna
101,5,kiMnara
102,5,upArdh
103,5,upaveSTitin
104,5,gopAlakezava
105,5,pradyumnazikharapIThASTaka
106,5,rakSoghnasUkta
107,5,amarman
108,5,dRSatsAra
109,5,yajJatantrasUtra
110,5,puSpAhvA
111,5,nirIkSin
112,5,vAJchAkalpa
113,5,tiraskRtasambhASa
114,5,ardhamAgadhaka
115,6,ziznapraNejinI
116,6,tArkSa
117,6,sUtrIya
118,6,mAdhavIya
119,6,zvetazAla
120,6,munipiSTakin
121,6,pratiSiddhasevana
122,6,kramamAlA
123,6,khagarbha
124,6,mahAbuddha
125,6,akRtakAram
126,6,zokakara
127,6,lakSmInArAyaNapaJcAGga
128,6,nartitamayUra
129,6,Ardratva
130,6,anukRz
131,6,caturtham
132,6,bAhuzardhin
133,6,kaTukITa
134,6,prANaviprayoga
135,6,vandhyAprakAza
136,6,madyadruma
137,6,zIghrataram
138,6,mArjite
139,6,vaNiksuta
140,6,bIjagaNitodAharaNa
141,6,kauSItakyupaniSad
142,6,pradezinI
143,6,zithira
144,6,dhArAdhvani
145,6,jIvahiMsA
146,6,sadharmacAriNI
147,6,laGghanIya
148,6,AtavAyana
149,6,zvaitacchattrika
150,7,zvabhrita
151,7,RSabhadatta
152,7,sAdhibhUta
153,7,galUnasa
154,7,vaGkh
155,7,nirvihaMga
156,7,strIlampaTa
157,7,abhinimantr
158,7,sAmrAjyadIkSita
159,8,brahmasattra
160,8,zirovirecana
161,8,sAmAnyaniruktiprathamalakSaNa
162,8,dhUmraketu
163,8,sarvajJavyavasthApaka
164,8,pratiprayANa
165,8,aMzumat
166,8,sukhaduHkhAdi
167,8,vyAlUna
168,8,zozoMsAvas
169,8,bhrakuMsa
170,8,manorhita
171,8,vetAlapura
172,8,guhyapattraka
173,8,praticchadana
174,8,divAnaktam
175,8,zAlibhaJjikAya
176,8,vArtraghna
177,8,vAntizodhanI
178,8,zAMtanavaSaTsUtra
179,8,bodharAyAcArya
180,8,parNamaya
181,9,nASTrA
182,9,devArha
183,9,tAlAvacaraNa
184,10,zAkvaragarbha
185,10,nyAda
186,10,pracalakAJcanakuNDala
187,10,ap
188,10,zubhekSaNa
189,10,pAdapAlikA
190,10,nItArtha
191,10,jalapAlikA
192,11,arthasAdhana
193,11,utpIDa
194,11,solkAlAtAvapothika
195,11,divAsvApa
196,11,mayaskara
197,11,sAlUra
198,11,sazItkAram
199,11,Urdhvaretas
200,11,gRdhradRSTi
201,11,kubhArya
202,11,viSamamaya
203,11,raghunandanakoza
204,11,cIlikA
205,11,Alava
206,11,araudra
207,11,lakSmyaSTottarazatastotra
208,11,rAjaprazastimahAkAvya
209,11,asaMcayika
210,11,pUrveSukAmazamI
211,11,viSayAjJAna
212,11,cAkacikya
213,11,kucAru
214,11,hiraNyatvacas
215,11,kadambapuSpI
216,11,AtRR
217,11,upahAsin
218,11,vidhiprayoga
219,11,dhRtiSeNa
220,11,sAMkhyazAstra
221,11,saMkarSaNakANDa
222,11,apariNAmadarzin
223,11,karavAlikA
224,11,saMgrAmatUrya
225,11,ziromaNibhaTTAcArya
226,12,sarvakAmya
227,12,svArthaparAyaNa
228,12,gRhArAma
229,12,vitatkaraNa
230,12,sAtma
231,12,upamath
232,12,kolvagireya
233,12,ghaNTArAva
234,12,siddhayoga
235,12,vAkyakhaNDana
236,12,kharapuSpa
237,12,amitaujas
238,12,cAndhanAyana
239,12,acara
240,12,dharmakaropAdhyAya
241,12,auSaNazauNDI
242,12,suguNin
243,12,viSatantra
244,12,pRSTaprativacana
245,12,durgakAraka
246,12,vRddhayAjJavalkya
247,12,antarbhUtatva
248,12,varaNDAlu
249,12,kRmizaGkha
250,12,sapratigha
251,12,zvayathumat
252,12,vyAlavat
253,12,bhRttva
254,12,iDaviDa
255,12,duSpratigraha
256,12,paryAcAnta
257,12,saMkhyAratnakoza
258,12,janmacitra
259,13,AvRh
260,13,nirmUla
261,13,vastutA
262,13,dharmasuta
263,13,varuNadevatya
264,13,hRdayaspRz
265,13,prANavallabhA
266,13,aparaJj
267,13,Atmayoga
268,13,samparikram
269,13,lakSmIsahodara
270,13,sthANutIrtha
271,13,indujanaka
272,13,grAmageya
273,13,kuSThavid
274,13,dhAturahasya
275,13,niyogastha
276,13,aSTazravaNa
277,13,prauDhayauvana
278,13,azmakuTTa
279,13,cikitsAparatantra
280,13,sakSIra
281,13,zilAyUpa
282,13,sajuS
283,13,saMcakita
284,13,kuzalaprazna
285,13,vArI
286,14,sabali
287,14,icikila
288,15,grahaNi
289,15,stAyu
290,16,saMdhya
291,16,dArakriyA
292,16,agdhAd
293,16,vibhajyavAda
294,16,nariSyanta
295,16,kuTTita
296,16,vAsayoga
297,16,saMvAz
298,16,puraya
299,16,salarin
300,16,nayaka
301,16,bodhAyana
302,16,parizaTha
303,16,huluhula
304,16,jhallakaNTha
305,16,adhyApayitR
306,16,himazailajA
307,16,maGgalavRSabha
308,16,manaskAravidhi
309,16,sAGmukhI
310,16,parApU
311,16,pratyabhibhUta
312,16,asaMjJa
313,16,bhasmAlAbuka
314,16,zApAvasAna
315,16,tripuSA
316,16,bhasmAlAbuka
317,16,avaropita
318,16,zukapuSpa
319,16,Azcotana
320,16,caitrabhAnava
321,16,rakSAratna
322,16,bhojakulapradIpa
323,16,svargadvAreSTi
324,17,digbheda
325,17,garmUTikA
326,17,barbari
327,17,prakledana
328,17,prajJAnatRpta
329,17,madavallabha
330,17,vedavRddha
331,17,uhuvAyivAsiSTha
332,17,vyAzraya
333,17,abadhA
334,17,prabodhaprakAza
335,17,mamma
336,17,savilakSasmitam
337,17,jaladhisambhava
338,17,utprabhAtIya
339,17,roSarUkSa
340,17,sukanyA
341,17,araNyarAj
342,17,yauktasruca
343,17,phaNAkara
344,17,ratnadvIpa
345,17,sudhAhara
346,17,catuHzikha
347,17,pRSThalagna
348,18,naramAnikA
349,18,sUryAtharvAGgirasopaniSad
350,18,zilAprAsAda
351,18,vivarNabhAva
352,18,zikyoduta
353,18,mitrAtithi
354,18,kSudrahiGgulikA
355,18,dhmAman
356,18,hindolaka
357,18,kezakUTa
358,18,kASThadAru
359,18,hatnu
360,18,mahAbalazAkya
361,18,kAryavinirNaya
362,18,sampramukti
363,18,hemacakra
364,18,maNipaticaritra
365,18,rikh
366,18,zAlasAra
367,18,kaluSita
368,18,avikSata
369,18,kAJcIpurI
370,18,cintiyA
371,18,dhmAkAra
372,19,cupa
373,19,SoDazIbilva
374,19,pANigrahItR
375,19,nAzuka
376,19,samakoSThamiti
377,19,paitarAvaNa
378,19,anityatA
379,19,duzcar
380,19,gaNDapAlI
381,19,nAgAntaka
382,19,udavindu
383,19,vaiSNavatva
384,19,mahAzimbI
385,19,haiDimba
386,19,bANin
387,19,atti
388,19,nipIDana
389,19,vizvadhAyas
390,19,avikalpita
391,19,ekayoni
392,19,dharmArthika
393,19,atizayita
394,19,RzyamUka
395,19,janapati
396,19,vyAdhy
397,19,caikIrSata
398,19,saMyuj
399,19,bAvAzAstrin
400,19,pavanI
401,19,yamadUta
402,19,Azru
403,19,niyutsA
404,19,abhyudAharaNa
405,19,chUrikA
406,19,saukhazAyanika
407,19,bAlajAtIya
408,19,rajaHkaNa
409,19,rUpAvata
410,19,caturuSTra
411,19,mithyAprasupta
412,20,aprAyatya
413,21,madbandhanasamudbhava
414,21,phala
415,21,mantrapATha
416,21,kArttikeyaprasU
417,21,AdhIparNa
418,21,vyupAram
419,21,vigAthA
420,21,samabhisR
421,21,upasRtya
422,21,musra
423,21,patadgraha
424,21,karkarATu
425,21,zrautasUtravidhi
426,21,naiSkarmyasiddhi
427,21,vikasvarUpa
428,21,peTAka
429,21,baddhaspRha
430,21,sarvatodizas
431,21,netrastambha
432,21,upanI
433,21,mudAyukta
434,21,bhAgavatapurANabandhana
435,21,dvivRSa
436,21,prativIta
437,21,ramalapaddhati
438,21,bimbaphala
439,21,sarvAdhipatya
440,21,kapikacchurA
441,21,agnivelA
442,21,upavac
443,21,navyamatavAdArtha
444,21,maGgalAhnika
445,21,kulabhUSaNa
446,21,dodhaka
447,21,balihAra
448,21,hRdIka
449,21,satyetara
450,21,kattoya
451,21,pratiruc
452,21,sayonitva
453,21,azokAri
454,21,udavraja
455,21,samagradhana
456,21,yatacittAtman
457,21,saMgrahavastu
458,21,abhivyAp
459,21,ucchvas
460,21,kSityadhipa
461,21,harivRkSa
462,21,amImAMsA
463,21,purastAt
464,22,ailika
465,22,zaravat
466,22,kamanIyatA
467,22,bahupatnIka
468,22,ruddhavIrya
469,22,mUrtisaMcara
470,22,RSabhavat
471,22,trAyamANa
472,22,zAkhAziphA
473,22,jyoktamAm
474,22,anatidRzna
475,22,Asut
476,22,triyUpa
477,22,pArSaki
478,22,aSTazatasAhasra
479,22,bhagavadgItArthasaMgraha
480,22,abrahmavid
481,22,aniza
482,22,samaveSa
483,22,pronmIl
484,22,madhuparNikA
485,22,gAndhArisaptasama
486,22,kIkasa
487,22,purajana
488,22,mAnavagRhyasUtra
489,22,puNyamahas
490,22,Aviz
491,22,sudRDhatA
492,22,durvAraNa
493,22,zreyaHketa
494,22,rAmacandrAzrama
495,22,karNArA
496,22,nikaSA
497,22,sukharatha
498,22,gurutalpa
499,22,prAyazcittAdhyAya
500,22,nakSatrakoza
501,22,upatakSaka
502,22,zilAstambha
503,22,paretabhartR
504,22,haridrAgaNapati
505,22,sUcIkapiza
506,22,stomabhAgika
507,22,nizAdarzin
508,22,sAmakArin
509,22,tarpaka
510,22,daNDadhArin
511,22,ciJcikA
512,22,avisaMvAdin
513,22,varjanIya
514,23,abhinirgam
515,23,abhyAgArika
516,23,uttarAraNi
517,23,dvAdazAkAra
518,23,aGgaNa
519,23,vinirbAnu
520,23,rakSin
521,23,samabhivRS
522,23,kalpataru
523,23,yogarUDhivAda
524,23,tip
525,23,nartita
526,23,apUrvapada
527,23,trisaMdhyA
528,23,vaikRtya
529,23,kelIzAlabhaJjikA
530,23,zmazAnAlaya
531,23,koTivarSa
532,23,mArgAkhyAyin
533,23,gajAdinAmA
534,23,sarvadharmamudra
535,23,svargagata
536,23,praprazru
537,23,atidA
538,23,avedi
539,23,mApaka
540,23,buddhivivardhana
541,23,saptAMzu
542,23,astravidyA
543,23,vagalAmukhI
544,23,viSakASTha
545,23,devAnIka
546,23,antardhAnagata
547,23,jIvapraja
548,24,Rti
549,24,ghoDezvaratIrtha
550,24,dIrghasUtra
551,24,anyonyApahRta
552,24,arkAzman
553,24,saMdAnikA
554,24,vRkSanAtha
555,24,ghArtika
556,24,bukk
557,24,avayu
558,24,iddha
559,24,paJcatriMzati
560,24,svadhAninayanIya
561,24,prabalavat
562,24,dustIrNa
563,24,nalvaNa
564,24,tyaktazrI
565,24,amRtasambhava
566,24,zramaNoddeza
567,24,diGmAtaGga
568,24,apahRta
569,24,pitRrAj
570,24,adhikSiti
571,24,vezyAyattIkR
572,24,harAnata
573,24,vAtyaupamya
574,24,anurAdha
575,24,barhiSya
576,24,anugaNitin
577,24,zailamallI
578,24,raiNukeya
579,24,tRSTajambha
580,24,tarkakArikA
581,24,durbhAgya
582,24,suhiMs
583,24,svarNabhAj
584,24,ambhaH
585,24,cakrabAndhava
586,24,hayakantharA
587,24,gaGgAdevI
588,24,prAgghoma
589,24,bhAgadugha
590,24,sImaliGga
591,25,sIsapattra
592,25,karmaNyabhuj
